Report ID;ComponentName;Model;Serial Number;Component Code;Failure;Additional Failure Description;Parent Case;Failure SMR;Active Stage;Failure2;Failure3;Failure32;Delivery;Failed Part Number;Failed Part Name;Component Name;Phenomenon Name;Plant;Current Queue;Status Reason;Created;Distributor;Subsidiary;Issue2;Additional Notes(Request);Distributor Contact;Filial DB code;Filial DB Name;LT DB;FY;YEAR
KBISC202205531;PC130LC-10M0, CAB ASS'Y GROUP, RETROVISOR, WRONG/MISSING PART, SEM O ESPELHO RETROVISOR  ;PC130LC-10M0;B20013;551 - Operator's Cab;Glass;SEM O ESPELHO RETROVISOR;;4;Sub.Received;04/04/2022;;21/03/2022;;2A5-54-13421;RETROVISOR;CAB ASS'Y GROUP;WRONG/MISSING PART;KDB (Plant) (51);KBI - Construction Service;In Process;02/05/2022;MANTOMAC-CHA (213SCA);KBI (9447);02/05/2022;EQUIPAMENTO NOVO.;Luciana Lumbieri;213RSB;MANTOMAC-CHA (213SCA);28;FY2022;2022
KBIPR202205527;PC130LC-10M0, OTHERS, WEIGHT, DEFECTIVE APPEARANCE, FALHA NA PINTURA E DESALINHAMENTO DO CON  ;PC130LC-10M0;B20003;000 - Machine;Painting;FALHA NA PINTURA E DESALINHAMENTO DO CON;;29,7;Plant.QA Approved;08/04/2022;;28/02/2022;08/04/2022;204-46-B1010;WEIGHT;OTHERS;DEFECTIVE APPEARANCE;KDB (Plant) (51);KDB - Quality Assurance;In Process;03/05/2022;VIANMAQ (213PRB);KBI (9447);03/05/2022;CLIENTE POSSUI 3 MÁQUINAS.;Eduardo Lima;213PRB;Vianmaq ;25;FY2022;2022
KBIPE202205504;PC130LC-10M0, AIR SYSTEM, Caatiba, BA, WRONG/MISSING PART, Falta retencao de particulado  ;PC130LC-10M0;B20014;6A0 - Hydraulic piping;Hose leak;Falta retencao de particulado;;8;Plant.QA Approved;28/04/2022;;23/03/2022;;204-03-71411;Caatiba, BA;AIR SYSTEM;WRONG/MISSING PART;KDB (Plant) (51);KDB - Quality Assurance;In Process;02/05/2022;F.W.MAQUINAS (213PEA);KBI (9447);07/06/2022;Equipamento chegou de fabrica sem o item especificado, provavelmente sobrou na hora da montagem, gentileza averiguar internamente o motivo da falta;Marcos Santos;213BAB;FW;40;FY2022;2022
KBISC202206572;PC130LC-10M0, MACHINE, ., DEFECTIVE APPEARANCE, EQUIPAMENTO COM VARIOS DEFEITOS ESTETICO  ;PC130LC-10M0;B20059;000 - Machine;Painting;EQUIPAMENTO COM VARIOS DEFEITOS ESTETICO;;5;Closed;24/05/2022;25/05/2022;11/05/2022;;.;.;MACHINE;DEFECTIVE APPEARANCE;KDB (Plant) (51);;Completed;21/06/2022;MANTOMAC-CHA (213SCA);KBI (9447);21/06/2022;"Por fim, graças ao trabalho do Distribuidor para corrigir as falhas aparentes no recebimento do equipamento novo, o cliente final recebeu seu equipamento e por enquanto não houve reclamações sobre os problemas acima mencionados.
Porém o equipamento atrasou em 2 dias ser entregue ao cliente devido os reparos que foram necessários serem executados.";Jonatas Kammer;213SCB;MANTOMAC-CHA (213SCA);28;FY2022;2022
KBISC202206578;PC130LC-10M0, MACHINE, 0, DEFECTIVE APPEARANCE, EQUIPAMENTO COM VARIOS DEFEITOS NA ESTET  ;PC130LC-10M0;B20056;000 - Machine;Painting;EQUIPAMENTO COM VARIOS DEFEITOS NA ESTET;;4;Closed;25/05/2022;26/05/2022;02/05/2022;01/06/2022;0;0;MACHINE;DEFECTIVE APPEARANCE;KDB (Plant) (51);;Completed;22/06/2022;MANTOMAC-CHA (213SCA);KBI (9447);22/06/2022;"Após os ajustes acima mencionados, o equipamento ficou em boas condições para ser entregue ao cliente final, que não reclamou de nada que referente aos defeitos encontrados e acima mencionados.
Devido aos reparos que necessitaram correção, o equipamento foi entregue ao cliente final com 1 dia de atraso perante o combinado.";Jonatas Kammer;213SCB;MANTOMAC-CHA (213SCA);28;FY2022;2022
KBIMB202207553;PC130LC-10M0, HYDRAULIC CONTROL VALVE, ORING, ENTER/LEAKS, Vazamento de óleo na mangueira do SwiveL  ;PC130LC-10M0;B20049;6A0 - Hydraulic piping;Hose leak;Vazamento de óleo na mangueira do SwiveL;;13;Plant.Confirmed;09/07/2022;11/07/2022;22/04/2022;;02896-11015;ORING;HYDRAULIC CONTROL VALVE;ENTER/LEAKS;KDB (Plant) (51);KDB - Quality Assurance;In Process;14/07/2022;Mason (213I);KBI (9447);25/07/2022;Equipamento veio de fábrica com as conexões da mangueiras do Swivel lado esquerdo frouxas. Efetuamos o atendimento, resolvendo o problema.;Higor Alves;213MGC;Mason;16;FY2022;2022
KBI9A202207556;PC130LC-10M0, HYDRAULIC CYLINDER, Cilindro do Braço, ENTER/LEAKS, B20036  ;PC130LC-10M0;B20036;H17 - Arm Cylinder;Vazamento cilindro do braço;B20036;;438;Plant.QA Approved;25/07/2022;;11/04/2022;20/05/2022;707-G1-X7160;Cilindro do Braço;HYDRAULIC CYLINDER;ENTER/LEAKS;KDB (Plant) (51);KDB - Quality Assurance;In Process;26/07/2022;DCCO (213GOC);KBI (9447);26/07/2022;Essa é a primeira falha ocorrida em nossa região neste modelo de equipamento. A princípio não há evidências de mau uso que possam ter ocasionado na falha identificada pelo cliente.;Pedro Vaz;213GOC;DCCO;1;FY2022;2022
KBISP202208580;PC130LC-10M0, ENGINE ASSY, muffler, DEFECTIVE APPEARANCE,   ;PC130LC-10M0;B20033;A1T - Muffler;Abnormal noise on muffler (before countermeasure);muffler;;251;Closed;26/07/2022;26/07/2022;30/03/2022;19/04/2022;6271-11-5230;muffler;ENGINE ASSY;DEFECTIVE APPEARANCE;KDB (Plant) (51);;Completed;11/08/2022;BAUKO (213SPA);KBI (9447);11/08/2022;MAQUINA PERTENCE A BAUKO MAQUINAS (RENTAL) AO FAZER A INSPEÇÃO DE 250 HORAS PARA LIBERAÇÃO PARA NO CLIENTE FOI CONSTATADO O RUIDO ORIUNDO DO SILENCIOSO SEMELHANTE AO OCORRIDO NAS PC130-8, MAQUINA ATUALMENTE ESTA ALUGADA PARA O CLIENTE HANS JOSEFE.;Gabriel Augusto;213ESD;Bauko;16;FY2022;2022
KBI1D202208515;PC130LC-10M0, BUCKET(H/E BACKHOE), Dente de Aço, BROKEN,   ;PC130LC-10M0;B20040;716 - Bucket;Bucket clearance;Dente de Aço;;117;Sub.Submitted;17/06/2022;17/08/2022;11/04/2022;;KH20S;Dente de Aço;BUCKET(H/E BACKHOE);BROKEN;KDB (Plant) (51);<Guilherme Augusto Macedo>;In Process;18/08/2022;NOROESTE (2131D);KBI (9447);18/08/2022;Primeiro equipamento PC130, vendido na regiao norte.;Bruno Rocha;2131D;Noroeste;62;FY2022;2022
KBISC202208629;PC130LC-10M0, FUEL TANK GROUP, FILTRO SEPARADOR, ENTER/LEAKS, TRINCA NO FILTRO SEPARADOR DO DIESEL  ;PC130LC-10M0;B20056;602 - Hydraulic filter;;TRINCA NO FILTRO SEPARADOR DO DIESEL;;66;Plant.Confirmed;28/06/2022;31/08/2022;02/05/2022;01/06/2022;600-311-9921;FILTRO SEPARADOR;FUEL TANK GROUP;ENTER/LEAKS;KDB (Plant) (51);KDB - Quality Assurance;In Process;31/08/2022;MANTOMAC-CHA (213SCA);KBI (9447);31/08/2022;;Jonatas Kammer;213SCB;MANTOMAC-CHA (213SCA);64;FY2022;2022
